"","SPECIES_CLEAN","Duration","Start","End","CoverChangePerYear","X","ClassNew","Synonym","family","FunctionalGroup","Woodiness","Deciduousness","BerryCat","N_fixer","PlantHeight","SLA","SeedMass","LeafN","LeafCN","MeanCoverChange","TimesColonised"
"214","Parnassia palustris",5,0.952380952380952,1.37931034482759,0.0853858784893268,79,"Boreal-tundra boundary",NA,"Celastraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.126363636363636,20.8067950629705,NA,18.2443004422982,27.4522427566438,0.0291998579616135,1
"215","Potentilla crantzii",5,3.80952380952381,3.44827586206897,-0.0722495894909689,54,"Ubiquitous",NA,"Rosaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.127366666666667,15.5197743420902,0.361357142857143,29.3548886888889,NA,-0.0698664065479575,1
"216","Cerastium cerastoides",5,1.05263157894737,0.925925925925926,-0.0253411306042885,61,"Boreal-tundra boundary",NA,"Caryophyllaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0445454545454545,24.9892857142857,NA,NA,NA,0.0473954208930227,1
"217","Epilobium anagallidifolium",5,2.10526315789474,1.85185185185185,-0.050682261208577,62,"Boreal-tundra boundary",NA,"Onagraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0693846153846154,22.268,0.0588375,NA,NA,-0.138977494240652,0
"218","Rumex acetosa",5,2.10526315789474,0.925925925925926,-0.235867446393762,26,"Boreal-tundra boundary",NA,"Polygonaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.319598743619945,22.3782942783134,0.788440909090909,31.0531578051671,12.6257926830971,-0.0357740272781886,3
"219","Gentiana nivalis",5,0,1.44927536231884,0.289855072463768,43,"Boreal-tundra boundary",NA,"Gentianaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0817888888888889,30.5832592592593,NA,NA,NA,0.0771794195313096,3
"220","Antennaria pulchella",5,1.36986301369863,2.27272727272727,0.180572851805729,248,"Arctic specialist","Antennaria media","Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,0.180572851805729,0
"221","Pyrola rotundifolia",5,0,2.75229357798165,0.55045871559633,252,"Boreal-tundra boundary","Not available","Ericaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.233428571428571,NA,NA,14.6496666666667,NA,0.316274798286962,2
"222","Luzula arcuata",21,0,2.32558139534884,0.110741971207087,166,"Boreal-tundra boundary",NA,"Juncaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,15.275,NA,-0.0189834145303359,6
"223","Saxifraga aizoides",20,1.12359550561798,0,-0.0561797752808989,185,"Ubiquitous",NA,"Saxifragaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0771428571428572,14.4995910685294,NA,17.41389858375,NA,-0.0561797752808989,0
"224","Harrimanella hypnoides",18,2.17391304347826,0,-0.120772946859903,19,"Boreal-tundra boundary",NA,"Ericaceae","Shrub","Woody","Evergreen","Not berry","Not fixer",0.0146588235294118,8.77593345261441,NA,15.07,NA,-0.126284024204183,41
"225","Kalmia procumbens",18,0,4.76190476190476,0.264550264550265,22,"Boreal-tundra boundary",NA,"Ericaceae","Shrub","Woody","Evergreen","Not berry","Not fixer",0.0361111111111111,4.75368827173251,0.01684,8.05727272727273,NA,0.424323416013526,5
"226","Antennaria alpina",6,1.47058823529412,0,-0.245098039215686,48,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.105961240310078,22.447731113125,NA,19.21,NA,0.0481023081834681,3
"227","Trollius europaeus",18,1.42857142857143,0,-0.0793650793650794,188,"Boreal-tundra boundary",NA,"Ranunculaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.503344827586207,22.950534295147,NA,26.3377011479161,NA,0.0261936131501349,1
"228","Taraxacum croceum",22,2.4390243902439,1.5625,-0.0398420177383592,186,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,34.7933333333333,NA,NA,NA,0.0135014510238685,1
"229","Carex lachenalii",22,14.8648648648649,1.38888888888889,-0.612544362544363,28,"Ubiquitous",NA,"Cyperaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.113878787878788,18.6314356516667,NA,NA,NA,-0.396969511247225,2
"230","Rumex alpestris",22,0,1.44927536231884,0.0658761528326746,280,"Boreal-tundra boundary","Rumex acetosa","Polygonaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.319598743619945,22.3782942783134,0.788440909090909,31.0531578051671,12.6257926830971,0.0658761528326746,1
"231","Lycopodium complanatum",16,0.165837479270315,0,-0.0103648424543947,274,"Boreal specialist","Diphasiastrum complanatum","Lycopodiaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0888888888888889,6.8986253614,NA,8.0405,NA,-0.0100500224733033,0
"232","Erigeron humilis",8,1.15606936416185,1.75438596491228,0.0747895750938039,95,"Ubiquitous",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,-0.313784519902974,0
"233","Cardamine digitalis",23,0,1.31578947368421,0.05720823798627,286,"Boreal-tundra boundary","Cardamine digitata","Brassicaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0526,14.457849526,NA,NA,NA,0.0510887440056949,5
"234","Festuca baffinensis",23,1.06382978723404,0,-0.0462534690101758,227,"Ubiquitous",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.146290322580645,12.9268667401667,0.619047619047619,NA,NA,-0.0916774563683885,3
"235","Micranthes nelsoniana",17,0,0.526315789473684,0.0309597523219814,228,"Ubiquitous",NA,"Saxifragaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.152005050505051,14.8241470625161,0.0406666666,NA,NA,-0.0196818678615128,1
"236","Lagotis minor",23,0,0.537634408602151,0.0233754090696587,287,"Ubiquitous","Lagotis glauca","Plantaginaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.139372549019608,9.19893021526667,5.075,NA,NA,0.0233754090696587,1
"237","Carex brunnescens",16,22.8758169934641,0.353356890459364,-1.40765375643779,32,"Boreal-tundra boundary",NA,"Cyperaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.107142857142857,NA,NA,NA,NA,-0.602908918361271,2
"238","Gnaphalium supinum",16,0.261780104712042,0,-0.0163612565445026,247,"Boreal-tundra boundary","Omalotheca supina","Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0474893617021277,34.356376956,NA,27.3266666666667,NA,-0.0427286877245854,5
"239","Vahlodea atropurpurea",16,0,0.193050193050193,0.0120656370656371,36,"Boreal-tundra boundary",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,0.0173824855437011,5
"240","Rhodiola rosea",16,0.196463654223969,0,-0.012278978388998,39,"Ubiquitous",NA,"Crassulaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.106259259259259,23.087025046756,NA,31.9590008681638,NA,0.0783707217083103,7
"241","Antennaria dioica",16,0.421940928270042,0,-0.0263713080168776,41,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0958511489783453,18.366841616044,NA,15.9907692307692,NA,-0.0263713080168776,0
"242","Galium boreale",24,0,8.33333333333333,0.347222222222222,225,"Boreal-tundra boundary",NA,"Rubiaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.2770625,21.010994007473,NA,23.1785714285714,NA,0.746252204585538,6
"243","Galium normanii",24,0,8.33333333333333,0.347222222222222,224,"Boreal specialist",NA,"Rubiaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,0.347222222222222,1
"244","Galium verum",24,25,16.6666666666667,-0.347222222222222,223,"Boreal-tundra boundary",NA,"Rubiaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.152373188405797,20.3704738330437,0.6076,18.7268234051996,21.9409062919044,0.826719576719577,4
"245","Agrostis vinealis",24,33.3333333333333,0,-1.38888888888889,226,"Boreal-tundra boundary",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",0.485714285714286,NA,NA,NA,NA,-1.38888888888889,0
"246","Avenella flexuosa",24,16.6666666666667,16.6666666666667,0,221,"Boreal-tundra boundary",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,-0.171130952380952,1
