"","SiteSubsitePlot","Duration"
"386","THUFUVER:SALIXHEATH:SALIXHEATH3_7",23
"387","THUFUVER:SALIXHEATH:SALIXHEATH2_11",23
"388","THUFUVER:SALIXHEATH:SALIXHEATH2_5",23
"389","THUFUVER:SALIXHEATH:SALIXHEATH2_6",23
"390","THUFUVER:SALIXHEATH:SALIXHEATH3_13",23
"391","THUFUVER:SALIXHEATH:SALIXHEATH1_20",23
"392","THUFUVER:SALIXHEATH:SALIXHEATH1_3",23
"393","THUFUVER:SALIXHEATH:SALIXHEATH2_17",23
"394","THUFUVER:SALIXHEATH:SALIXHEATH2_16",23
"395","THUFUVER:SALIXHEATH:SALIXHEATH3_11",23
"396","THUFUVER:SALIXHEATH:SALIXHEATH2_14",23
"397","THUFUVER:SALIXHEATH:SALIXHEATH3_2",23
"398","THUFUVER:SALIXHEATH:SALIXHEATH1_2",23
"399","THUFUVER:SALIXHEATH:SALIXHEATH1_9",23
"400","THUFUVER:SALIXHEATH:SALIXHEATH2_9",23
"401","THUFUVER:SALIXHEATH:SALIXHEATH3_1",23
"402","THUFUVER:SALIXHEATH:SALIXHEATH2_12",23
"403","THUFUVER:SALIXHEATH:SALIXHEATH2_15",23
"404","THUFUVER:SALIXHEATH:SALIXHEATH3_14",23
"405","THUFUVER:SALIXHEATH:SALIXHEATH3_15",23
"406","THUFUVER:SALIXHEATH:SALIXHEATH3_16",23
"407","THUFUVER:SALIXHEATH:SALIXHEATH3_17",23
"408","THUFUVER:SALIXHEATH:SALIXHEATH1_1",23
"409","THUFUVER:SALIXHEATH:SALIXHEATH1_10",23
"410","THUFUVER:SALIXHEATH:SALIXHEATH2_13",23
"411","THUFUVER:SALIXHEATH:SALIXHEATH1_5",23
"412","THUFUVER:SALIXHEATH:SALIXHEATH1_6",23
"413","THUFUVER:SALIXHEATH:SALIXHEATH1_7",23
"414","THUFUVER:SALIXHEATH:SALIXHEATH1_8",23
"415","THUFUVER:SALIXHEATH:SALIXHEATH3_6",23
"416","THUFUVER:SALIXHEATH:SALIXHEATH3_10",23
"417","THUFUVER:SALIXHEATH:SALIXHEATH1_18",23
"418","THUFUVER:SALIXHEATH:SALIXHEATH3_18",23
"419","THUFUVER:SALIXHEATH:SALIXHEATH3_19",23
"420","THUFUVER:SALIXHEATH:SALIXHEATH1_11",23
"421","THUFUVER:SALIXHEATH:SALIXHEATH3_3",23
"422","THUFUVER:SALIXHEATH:SALIXHEATH1_12",23
"423","THUFUVER:SALIXHEATH:SALIXHEATH1_13",23
